timestamp,cpu,memory,disk,connections,processes
2026-05-19 15:07:47,0.5,35.8,18.9,20,272
2026-05-19 15:07:50,0.2,35.6,18.9,20,272
2026-05-19 15:07:53,0.3,35.6,18.9,20,272
2026-05-19 15:07:56,0.1,35.6,18.9,20,272
2026-05-19 15:07:59,0.4,35.6,18.9,18,273
2026-05-19 15:08:02,0.5,35.6,18.9,18,272
2026-05-19 15:08:05,0.1,35.5,18.9,18,272
2026-05-19 15:08:08,0.1,35.5,18.9,18,272
2026-05-19 15:08:11,0.4,35.5,18.9,18,272
2026-05-19 15:08:14,0.1,35.5,18.9,18,272
2026-05-19 15:08:17,0.1,35.5,18.9,18,272
2026-05-19 15:08:20,0.0,35.5,18.9,18,272
2026-05-19 15:08:23,0.1,35.5,18.9,18,272
2026-05-19 15:08:26,0.2,35.6,18.9,16,272
2026-05-19 15:08:29,0.2,35.6,18.9,16,272
2026-05-19 15:08:32,0.1,35.5,18.9,15,272
2026-05-19 15:08:35,2.1,35.3,18.9,15,273
2026-05-19 15:08:38,0.4,35.3,18.9,15,272
2026-05-19 15:08:41,0.1,35.3,18.9,15,272
2026-05-19 15:08:44,0.0,35.3,18.9,15,272
2026-05-19 15:08:47,0.4,35.3,18.9,14,272
2026-05-19 15:08:50,0.0,35.3,18.9,14,272
2026-05-19 15:08:53,0.1,35.3,18.9,14,272
2026-05-19 15:08:56,0.6,35.3,18.9,16,272
2026-05-19 15:08:59,0.2,35.4,18.9,15,273
2026-05-19 15:09:02,0.1,35.5,18.9,15,273
2026-05-19 15:09:05,0.2,35.4,18.9,15,273
2026-05-19 15:09:08,0.1,35.3,18.9,15,273
2026-05-19 15:09:11,0.1,35.3,18.9,15,273
2026-05-19 15:09:14,0.0,35.3,18.9,15,273
2026-05-19 15:09:17,0.2,35.3,18.9,15,273
2026-05-19 15:09:20,0.0,35.3,18.9,15,273
2026-05-19 15:09:23,0.0,35.3,18.9,15,273
2026-05-19 15:09:26,0.5,35.2,18.9,15,273
2026-05-19 15:09:29,0.1,35.2,18.9,15,273
2026-05-19 15:09:32,0.2,35.1,18.9,15,273
2026-05-19 15:09:35,2.4,35.1,18.9,15,273
2026-05-19 15:09:38,0.3,35.2,18.9,15,273
2026-05-19 15:09:41,0.1,35.1,18.9,15,273
2026-05-19 15:09:44,0.0,35.1,18.9,15,273
2026-05-19 15:09:47,0.1,35.1,18.9,15,273
2026-05-19 15:09:50,0.0,35.2,18.9,15,273
2026-05-19 15:09:53,0.1,35.2,18.9,15,273
2026-05-19 15:09:56,0.0,35.2,18.9,15,273
2026-05-19 15:09:59,0.1,35.2,18.9,15,273
2026-05-19 15:10:02,0.5,35.2,18.9,15,274
2026-05-19 15:10:06,0.1,35.2,18.9,15,274
2026-05-19 15:10:09,0.1,35.2,18.9,15,274
2026-05-19 15:10:12,0.2,35.2,18.9,15,274
2026-05-19 15:10:15,0.2,35.1,18.9,15,274
